step,time_fs,atom_idx,atom_type,atom_energy,total_energy
0,0.0,0,C,3.47640061378479,-70.8123779296875
0,0.0,1,C,0.48273617029190063,-70.8123779296875
0,0.0,2,C,0.07857389748096466,-70.8123779296875
0,0.0,3,C,-1.127462387084961,-70.8123779296875
0,0.0,4,H,-1.1659284830093384,-70.8123779296875
0,0.0,5,H,3.910708427429199,-70.8123779296875
0,0.0,6,H,-1.8490700721740723,-70.8123779296875
0,0.0,7,H,1.60099196434021,-70.8123779296875
0,0.0,8,H,3.0174508094787598,-70.8123779296875
0,0.0,9,H,-0.18840087950229645,-70.8123779296875
0,0.0,10,H,0.27273890376091003,-70.8123779296875
0,0.0,11,H,-0.09829126298427582,-70.8123779296875
1,1.0,0,C,3.504815101623535,-70.01116180419922
1,1.0,1,C,0.389322429895401,-70.01116180419922
1,1.0,2,C,0.21400511264801025,-70.01116180419922
1,1.0,3,C,-1.1170103549957275,-70.01116180419922
1,1.0,4,H,-1.0948927402496338,-70.01116180419922
1,1.0,5,H,3.861286163330078,-70.01116180419922
1,1.0,6,H,-1.8378313779830933,-70.01116180419922
1,1.0,7,H,1.5318444967269897,-70.01116180419922
1,1.0,8,H,2.9697818756103516,-70.01116180419922
1,1.0,9,H,-0.15269309282302856,-70.01116180419922
1,1.0,10,H,0.2430209517478943,-70.01116180419922
1,1.0,11,H,-0.16336631774902344,-70.01116180419922
2,2.0,0,C,2.6829993724823,-101.71888732910156
2,2.0,1,C,3.1220009326934814,-101.71888732910156
2,2.0,2,C,-3.6656012535095215,-101.71888732910156
2,2.0,3,C,-2.175956964492798,-101.71888732910156
2,2.0,4,H,-3.0901355743408203,-101.71888732910156
2,2.0,5,H,5.578358173370361,-101.71888732910156
2,2.0,6,H,-2.769477128982544,-101.71888732910156
2,2.0,7,H,3.8069255352020264,-101.71888732910156
2,2.0,8,H,5.357812881469727,-101.71888732910156
2,2.0,9,H,-0.6876242160797119,-101.71888732910156
2,2.0,10,H,1.268365740776062,-101.71888732910156
2,2.0,11,H,2.179771661758423,-101.71888732910156
3,3.0,0,C,2.4844393730163574,-46.052730560302734
3,3.0,1,C,3.6104233264923096,-46.052730560302734
3,3.0,2,C,-0.3341161608695984,-46.052730560302734
3,3.0,3,C,-0.9278950691223145,-46.052730560302734
3,3.0,4,H,-0.6958810091018677,-46.052730560302734
3,3.0,5,H,5.715267181396484,-46.052730560302734
3,3.0,6,H,-1.911204218864441,-46.052730560302734
3,3.0,7,H,-1.0173444747924805,-46.052730560302734
3,3.0,8,H,3.641876697540283,-46.052730560302734
3,3.0,9,H,1.61527419090271,-46.052730560302734
3,3.0,10,H,-0.4615628719329834,-46.052730560302734
3,3.0,11,H,-0.12663310766220093,-46.052730560302734
4,4.0,0,C,2.70902419090271,-100.95406341552734
4,4.0,1,C,3.0583882331848145,-100.95406341552734
4,4.0,2,C,-3.572002410888672,-100.95406341552734
4,4.0,3,C,-2.153796434402466,-100.95406341552734
4,4.0,4,H,-3.0418386459350586,-100.95406341552734
4,4.0,5,H,5.541502952575684,-100.95406341552734
4,4.0,6,H,-2.746487617492676,-100.95406341552734
4,4.0,7,H,3.7571310997009277,-100.95406341552734
4,4.0,8,H,5.304506301879883,-100.95406341552734
4,4.0,9,H,-0.6717485785484314,-100.95406341552734
4,4.0,10,H,1.234411597251892,-100.95406341552734
4,4.0,11,H,2.125809907913208,-100.95406341552734
5,5.0,0,C,2.3894879817962646,-49.188880920410156
5,5.0,1,C,3.8107199668884277,-49.188880920410156
5,5.0,2,C,-0.6852389574050903,-49.188880920410156
5,5.0,3,C,-1.0511642694473267,-49.188880920410156
5,5.0,4,H,-0.8659617304801941,-49.188880920410156
5,5.0,5,H,5.805501937866211,-49.188880920410156
5,5.0,6,H,-1.9990108013153076,-49.188880920410156
5,5.0,7,H,-0.8020145893096924,-49.188880920410156
5,5.0,8,H,3.862424373626709,-49.188880920410156
5,5.0,9,H,1.5688841342926025,-49.188880920410156
5,5.0,10,H,-0.35689741373062134,-49.188880920410156
5,5.0,11,H,0.10215684771537781,-49.188880920410156
6,6.0,0,C,1.7340971231460571,-83.60768127441406
6,6.0,1,C,6.374481201171875,-83.60768127441406
6,6.0,2,C,-4.723461627960205,-83.60768127441406
6,6.0,3,C,-1.9556288719177246,-83.60768127441406
6,6.0,4,H,-2.8266611099243164,-83.60768127441406
6,6.0,5,H,7.57289981842041,-83.60768127441406
6,6.0,6,H,-2.7454280853271484,-83.60768127441406
6,6.0,7,H,1.2126916646957397,-83.60768127441406
6,6.0,8,H,6.476444244384766,-83.60768127441406
6,6.0,9,H,1.1430625915527344,-83.60768127441406
6,6.0,10,H,0.583061695098877,-83.60768127441406
6,6.0,11,H,2.5586671829223633,-83.60768127441406
7,7.0,0,C,1.8002707958221436,-62.096412658691406
7,7.0,1,C,4.687627792358398,-62.096412658691406
7,7.0,2,C,-2.7823102474212646,-62.096412658691406
7,7.0,3,C,-1.2382848262786865,-62.096412658691406
7,7.0,4,H,-1.766087532043457,-62.096412658691406
7,7.0,5,H,6.021124362945557,-62.096412658691406
7,7.0,6,H,-2.02516770362854,-62.096412658691406
7,7.0,7,H,0.22188812494277954,-62.096412658691406
7,7.0,8,H,4.742050647735596,-62.096412658691406
7,7.0,9,H,1.1108847856521606,-62.096412658691406
7,7.0,10,H,0.10663986206054688,-62.096412658691406
7,7.0,11,H,1.4328426122665405,-62.096412658691406
8,8.0,0,C,1.537187933921814,-60.29170227050781
8,8.0,1,C,4.587024688720703,-60.29170227050781
8,8.0,2,C,-3.1125476360321045,-60.29170227050781
8,8.0,3,C,-1.1178114414215088,-60.29170227050781
8,8.0,4,H,-1.874650478363037,-60.29170227050781
8,8.0,5,H,5.6216630935668945,-60.29170227050781
8,8.0,6,H,-1.831267237663269,-60.29170227050781
8,8.0,7,H,0.4824744760990143,-60.29170227050781
8,8.0,8,H,4.5219011306762695,-60.29170227050781
8,8.0,9,H,0.792620062828064,-60.29170227050781
8,8.0,10,H,0.24631109833717346,-60.29170227050781
8,8.0,11,H,1.7366552352905273,-60.29170227050781
9,9.0,0,C,1.7604798078536987,-65.15142822265625
9,9.0,1,C,4.932533264160156,-65.15142822265625
9,9.0,2,C,-3.143601894378662,-65.15142822265625
9,9.0,3,C,-1.3262181282043457,-65.15142822265625
9,9.0,4,H,-1.9468437433242798,-65.15142822265625
9,9.0,5,H,6.194436550140381,-65.15142822265625
9,9.0,6,H,-2.1005606651306152,-65.15142822265625
9,9.0,7,H,0.41720086336135864,-65.15142822265625
9,9.0,8,H,4.977945327758789,-65.15142822265625
9,9.0,9,H,1.0681761503219604,-65.15142822265625
9,9.0,10,H,0.1749860793352127,-65.15142822265625
9,9.0,11,H,1.6551635265350342,-65.15142822265625
10,10.0,0,C,1.5137913227081299,-61.816368103027344
10,10.0,1,C,4.73018217086792,-61.816368103027344
10,10.0,2,C,-3.2887208461761475,-61.816368103027344
10,10.0,3,C,-1.1701358556747437,-61.816368103027344
10,10.0,4,H,-1.9734236001968384,-61.816368103027344
10,10.0,5,H,5.727776050567627,-61.816368103027344
10,10.0,6,H,-1.883911371231079,-61.816368103027344
10,10.0,7,H,0.5882569551467896,-61.816368103027344
10,10.0,8,H,4.639531135559082,-61.816368103027344
10,10.0,9,H,0.761983335018158,-61.816368103027344
10,10.0,10,H,0.2995319962501526,-61.816368103027344
10,10.0,11,H,1.8449722528457642,-61.816368103027344
11,11.0,0,C,1.875648021697998,-76.65047454833984
11,11.0,1,C,5.865976810455322,-76.65047454833984
