step,time_fs,atom_idx,atom_type,atom_energy,total_energy
0,0.0,0,C,-0.07263641059398651,-6.512380123138428
0,0.0,1,C,-1.4726033210754395,-6.512380123138428
0,0.0,2,C,0.5315849184989929,-6.512380123138428
0,0.0,3,C,-0.09572397917509079,-6.512380123138428
0,0.0,4,C,0.35554829239845276,-6.512380123138428
0,0.0,5,H,0.4090360403060913,-6.512380123138428
0,0.0,6,H,1.1343603134155273,-6.512380123138428
0,0.0,7,H,-0.7785874605178833,-6.512380123138428
0,0.0,8,H,-1.259976863861084,-6.512380123138428
0,0.0,9,H,1.0261626243591309,-6.512380123138428
0,0.0,10,H,-0.41680243611335754,-6.512380123138428
0,0.0,11,H,-0.318168044090271,-6.512380123138428
0,0.0,12,H,-0.8868840336799622,-6.512380123138428
0,0.0,13,H,1.0397475957870483,-6.512380123138428
0,0.0,14,H,-0.41695335507392883,-6.512380123138428
1,1.0,0,C,-0.07339509576559067,-6.4925761222839355
1,1.0,1,C,-1.4751899242401123,-6.4925761222839355
1,1.0,2,C,0.5326110124588013,-6.4925761222839355
1,1.0,3,C,-0.09512019157409668,-6.4925761222839355
1,1.0,4,C,0.35767316818237305,-6.4925761222839355
1,1.0,5,H,0.4093106687068939,-6.4925761222839355
1,1.0,6,H,1.136436939239502,-6.4925761222839355
1,1.0,7,H,-0.7792211174964905,-6.4925761222839355
1,1.0,8,H,-1.2587748765945435,-6.4925761222839355
1,1.0,9,H,1.023820400238037,-6.4925761222839355
1,1.0,10,H,-0.41618430614471436,-6.4925761222839355
1,1.0,11,H,-0.3182050585746765,-6.4925761222839355
1,1.0,12,H,-0.8876691460609436,-6.4925761222839355
1,1.0,13,H,1.0428835153579712,-6.4925761222839355
1,1.0,14,H,-0.41654443740844727,-6.4925761222839355
2,2.0,0,C,-0.08964262902736664,-2.7379326820373535
2,2.0,1,C,-2.451118230819702,-2.7379326820373535
2,2.0,2,C,0.4172310531139374,-2.7379326820373535
2,2.0,3,C,0.15467225015163422,-2.7379326820373535
2,2.0,4,C,0.690123975276947,-2.7379326820373535
2,2.0,5,H,0.5610764026641846,-2.7379326820373535
2,2.0,6,H,2.554426670074463,-2.7379326820373535
2,2.0,7,H,-1.2440074682235718,-2.7379326820373535
2,2.0,8,H,-1.4080924987792969,-2.7379326820373535
2,2.0,9,H,1.2103276252746582,-2.7379326820373535
2,2.0,10,H,-0.41384726762771606,-2.7379326820373535
2,2.0,11,H,-0.3993362486362457,-2.7379326820373535
2,2.0,12,H,-1.7581193447113037,-2.7379326820373535
2,2.0,13,H,1.8946508169174194,-2.7379326820373535
2,2.0,14,H,-1.0161577463150024,-2.7379326820373535
3,3.0,0,C,1.270122766494751,0.2855548858642578
3,3.0,1,C,-1.235432505607605,0.2855548858642578
3,3.0,2,C,-0.17591050267219543,0.2855548858642578
3,3.0,3,C,0.5978724956512451,0.2855548858642578
3,3.0,4,C,-0.35883718729019165,0.2855548858642578
3,3.0,5,H,-0.3067505657672882,0.2855548858642578
3,3.0,6,H,1.64597749710083,0.2855548858642578
3,3.0,7,H,-0.7967865467071533,0.2855548858642578
3,3.0,8,H,0.5821444392204285,0.2855548858642578
3,3.0,9,H,0.8067467212677002,0.2855548858642578
3,3.0,10,H,-0.38658109307289124,0.2855548858642578
3,3.0,11,H,-0.18471309542655945,0.2855548858642578
3,3.0,12,H,-2.3207626342773438,0.2855548858642578
3,3.0,13,H,0.8546856045722961,0.2855548858642578
3,3.0,14,H,-0.7501144409179688,0.2855548858642578
4,4.0,0,C,-0.08963856846094131,-2.7833662033081055
4,4.0,1,C,-2.442599058151245,-2.7833662033081055
4,4.0,2,C,0.419422447681427,-2.7833662033081055
4,4.0,3,C,0.15194594860076904,-2.7833662033081055
4,4.0,4,C,0.687865138053894,-2.7833662033081055
4,4.0,5,H,0.5607910752296448,-2.7833662033081055
4,4.0,6,H,2.5394697189331055,-2.7833662033081055
4,4.0,7,H,-1.2393629550933838,-2.7833662033081055
4,4.0,8,H,-1.4063478708267212,-2.7833662033081055
4,4.0,9,H,1.2075530290603638,-2.7833662033081055
4,4.0,10,H,-0.41472721099853516,-2.7833662033081055
4,4.0,11,H,-0.3975256681442261,-2.7833662033081055
4,4.0,12,H,-1.7477948665618896,-2.7833662033081055
4,4.0,13,H,1.886645793914795,-2.7833662033081055
4,4.0,14,H,-1.0091111660003662,-2.7833662033081055
5,5.0,0,C,1.2730556726455688,0.46162939071655273
5,5.0,1,C,-1.2838438749313354,0.46162939071655273
5,5.0,2,C,-0.18477624654769897,0.46162939071655273
5,5.0,3,C,0.6136248111724854,0.46162939071655273
5,5.0,4,C,-0.34062451124191284,0.46162939071655273
5,5.0,5,H,-0.30037957429885864,0.46162939071655273
5,5.0,6,H,1.7228726148605347,0.46162939071655273
5,5.0,7,H,-0.8233778476715088,0.46162939071655273
5,5.0,8,H,0.5685437321662903,0.46162939071655273
5,5.0,9,H,0.8150595426559448,0.46162939071655273
5,5.0,10,H,-0.3903007507324219,0.46162939071655273
5,5.0,11,H,-0.1922047883272171,0.46162939071655273
5,5.0,12,H,-2.3689725399017334,0.46162939071655273
5,5.0,13,H,0.8945344686508179,0.46162939071655273
5,5.0,14,H,-0.7810667157173157,0.46162939071655273
6,6.0,0,C,1.2678148746490479,2.7096829414367676
6,6.0,1,C,-1.8691412210464478,2.7096829414367676
6,6.0,2,C,-0.23480667173862457,2.7096829414367676
6,6.0,3,C,0.7641799449920654,2.7096829414367676
6,6.0,4,C,-0.15386493504047394,2.7096829414367676
6,6.0,5,H,-0.19010891020298004,2.7096829414367676
6,6.0,6,H,2.574183225631714,2.7096829414367676
6,6.0,7,H,-1.1001724004745483,2.7096829414367676
6,6.0,8,H,0.49022018909454346,2.7096829414367676
6,6.0,9,H,0.9395771026611328,2.7096829414367676
6,6.0,10,H,-0.37808868288993835,2.7096829414367676
6,6.0,11,H,-0.23859044909477234,2.7096829414367676
6,6.0,12,H,-2.8851866722106934,2.7096829414367676
6,6.0,13,H,1.3926398754119873,2.7096829414367676
6,6.0,14,H,-1.130720615386963,2.7096829414367676
7,7.0,0,C,1.1310068368911743,5.871862411499023
7,7.0,1,C,-2.512010097503662,5.871862411499023
7,7.0,2,C,-0.28990525007247925,5.871862411499023
7,7.0,3,C,0.9210516214370728,5.871862411499023
7,7.0,4,C,0.1315065324306488,5.871862411499023
7,7.0,5,H,-0.050583213567733765,5.871862411499023
7,7.0,6,H,3.4976320266723633,5.871862411499023
7,7.0,7,H,-1.379122257232666,5.871862411499023
