step,time_fs,atom_idx,atom_type,atom_energy,total_energy
0,0.0,0,C,-0.0726364105939865,-6.51238012313843
0,0.0,1,C,-1.47260332107544,-6.51238012313843
0,0.0,2,C,0.531584918498993,-6.51238012313843
0,0.0,3,C,-0.0957239791750908,-6.51238012313843
0,0.0,4,C,0.355548292398453,-6.51238012313843
0,0.0,5,H,0.409036040306091,-6.51238012313843
0,0.0,6,H,1.13436031341553,-6.51238012313843
0,0.0,7,H,-0.778587460517883,-6.51238012313843
0,0.0,8,H,-1.25997686386108,-6.51238012313843
0,0.0,9,H,1.02616262435913,-6.51238012313843
0,0.0,10,H,-0.416802436113358,-6.51238012313843
0,0.0,11,H,-0.318168044090271,-6.51238012313843
0,0.0,12,H,-0.886884033679962,-6.51238012313843
0,0.0,13,H,1.03974759578705,-6.51238012313843
0,0.0,14,H,-0.416953355073929,-6.51238012313843
5,5.0,0,C,1.27305567264557,0.461629390716553
5,5.0,1,C,-1.28384387493134,0.461629390716553
5,5.0,2,C,-0.184776246547699,0.461629390716553
5,5.0,3,C,0.613624811172485,0.461629390716553
5,5.0,4,C,-0.340624511241913,0.461629390716553
5,5.0,5,H,-0.300379574298859,0.461629390716553
5,5.0,6,H,1.72287261486053,0.461629390716553
5,5.0,7,H,-0.823377847671509,0.461629390716553
5,5.0,8,H,0.56854373216629,0.461629390716553
5,5.0,9,H,0.815059542655945,0.461629390716553
5,5.0,10,H,-0.390300750732422,0.461629390716553
5,5.0,11,H,-0.192204788327217,0.461629390716553
5,5.0,12,H,-2.36897253990173,0.461629390716553
5,5.0,13,H,0.894534468650818,0.461629390716553
5,5.0,14,H,-0.781066715717316,0.461629390716553
10,10.0,0,C,1.26325619220734,3.98573875427246
10,10.0,1,C,-2.19390368461609,3.98573875427246
10,10.0,2,C,-0.26996785402298,3.98573875427246
10,10.0,3,C,0.850816965103149,3.98573875427246
10,10.0,4,C,-0.0452776327729225,3.98573875427246
10,10.0,5,H,-0.138373672962189,3.98573875427246
10,10.0,6,H,3.04259061813355,3.98573875427246
10,10.0,7,H,-1.25228667259216,3.98573875427246
10,10.0,8,H,0.447778701782227,3.98573875427246
10,10.0,9,H,1.00103604793549,3.98573875427246
10,10.0,10,H,-0.373930275440216,3.98573875427246
10,10.0,11,H,-0.264567255973816,3.98573875427246
10,10.0,12,H,-3.1711118221283,3.98573875427246
10,10.0,13,H,1.67531585693359,3.98573875427246
